,Year,Season,AverageTemperature
1,1768,SUMMER,15.42
5,1769,SUMMER,14.293333333333335
9,1770,SUMMER,0.0
13,1771,SUMMER,0.0
17,1772,SUMMER,0.0
21,1773,SUMMER,0.0
25,1774,SUMMER,0.0
29,1775,SUMMER,19.17533333333333
33,1776,SUMMER,19.138333333333332
37,1777,SUMMER,17.947999999999997
41,1778,SUMMER,0.0
45,1779,SUMMER,0.0
49,1780,SUMMER,0.0
53,1781,SUMMER,4.771999999999999
57,1782,SUMMER,7.004666666666666
61,1783,SUMMER,0.0
65,1784,SUMMER,0.0
69,1785,SUMMER,0.0
73,1786,SUMMER,0.0
77,1787,SUMMER,0.0
81,1788,SUMMER,0.0
85,1789,SUMMER,0.0
89,1790,SUMMER,0.0
93,1791,SUMMER,0.0
97,1792,SUMMER,0.0
101,1793,SUMMER,0.0
105,1794,SUMMER,0.0
109,1795,SUMMER,0.0
113,1796,SUMMER,19.76533333333333
117,1797,SUMMER,0.0
121,1798,SUMMER,0.0
125,1799,SUMMER,0.0
129,1800,SUMMER,0.0
133,1801,SUMMER,0.0
137,1802,SUMMER,0.0
141,1803,SUMMER,0.0
145,1804,SUMMER,0.0
149,1805,SUMMER,0.0
153,1806,SUMMER,0.0
157,1807,SUMMER,0.0
161,1808,SUMMER,0.0
165,1809,SUMMER,0.0
169,1810,SUMMER,0.0
173,1811,SUMMER,11.786666666666667
177,1812,SUMMER,19.199333333333332
181,1813,SUMMER,19.506666666666664
185,1814,SUMMER,0.0
189,1815,SUMMER,18.951333333333338
193,1816,SUMMER,0.0
197,1817,SUMMER,17.524666666666665
201,1818,SUMMER,6.642666666666667
205,1819,SUMMER,0.0
209,1820,SUMMER,17.914999999999996
213,1821,SUMMER,18.260666666666665
217,1822,SUMMER,18.95566666666667
221,1823,SUMMER,18.55566666666667
225,1824,SUMMER,19.125
229,1825,SUMMER,19.226666666666663
233,1826,SUMMER,18.471
237,1827,SUMMER,19.144333333333332
241,1828,SUMMER,18.912
245,1829,SUMMER,18.966
249,1830,SUMMER,19.345000000000002
253,1831,SUMMER,18.17766666666667
257,1832,SUMMER,18.144000000000002
261,1833,SUMMER,19.012666666666664
265,1834,SUMMER,19.132
269,1835,SUMMER,17.568
273,1836,SUMMER,18.10233333333333
277,1837,SUMMER,18.548666666666666
281,1838,SUMMER,19.256333333333334
285,1839,SUMMER,18.788
289,1840,SUMMER,18.421
293,1841,SUMMER,18.748
297,1842,SUMMER,18.080333333333332
301,1843,SUMMER,18.553
305,1844,SUMMER,18.256666666666664
309,1845,SUMMER,19.0
313,1846,SUMMER,19.639666666666667
317,1847,SUMMER,18.48333333333333
321,1848,SUMMER,18.026333333333334
325,1849,SUMMER,18.920333333333332
329,1850,SUMMER,19.695666666666668
333,1851,SUMMER,19.474
337,1852,SUMMER,18.700666666666667
341,1853,SUMMER,18.886
345,1854,SUMMER,19.702333333333332
349,1855,SUMMER,19.217333333333332
353,1856,SUMMER,19.048999999999996
357,1857,SUMMER,18.916666666666668
361,1858,SUMMER,18.854666666666667
365,1859,SUMMER,18.352666666666668
369,1860,SUMMER,19.079
373,1861,SUMMER,18.965333333333334
377,1862,SUMMER,19.267333333333333
381,1863,SUMMER,18.944333333333333
385,1864,SUMMER,19.569
389,1865,SUMMER,19.484333333333336
393,1866,SUMMER,18.638333333333332
397,1867,SUMMER,19.309
401,1868,SUMMER,18.817333333333334
405,1869,SUMMER,19.17233333333333
409,1870,SUMMER,19.391333333333336
413,1871,SUMMER,19.181
417,1872,SUMMER,19.027
421,1873,SUMMER,19.087666666666667
425,1874,SUMMER,19.708333333333332
429,1875,SUMMER,18.764333333333333
433,1876,SUMMER,19.024333333333335
437,1877,SUMMER,19.304
441,1878,SUMMER,19.527666666666665
445,1879,SUMMER,18.993
449,1880,SUMMER,18.578333333333337
453,1881,SUMMER,19.661
457,1882,SUMMER,18.65133333333333
461,1883,SUMMER,18.700666666666667
465,1884,SUMMER,18.695333333333334
469,1885,SUMMER,18.846999999999998
473,1886,SUMMER,19.419
477,1887,SUMMER,18.863666666666667
481,1888,SUMMER,19.008333333333333
485,1889,SUMMER,18.689666666666668
489,1890,SUMMER,18.751666666666665
493,1891,SUMMER,18.839
497,1892,SUMMER,18.98
501,1893,SUMMER,18.932
505,1894,SUMMER,19.034333333333333
509,1895,SUMMER,18.731333333333335
513,1896,SUMMER,18.922333333333334
517,1897,SUMMER,19.115333333333336
521,1898,SUMMER,19.37366666666667
525,1899,SUMMER,19.070666666666664
529,1900,SUMMER,19.332000000000004
533,1901,SUMMER,19.48
537,1902,SUMMER,18.610666666666667
541,1903,SUMMER,18.471
545,1904,SUMMER,18.561333333333334
549,1905,SUMMER,19.037000000000003
553,1906,SUMMER,19.196
557,1907,SUMMER,18.711
561,1908,SUMMER,18.848
565,1909,SUMMER,19.072333333333336
569,1910,SUMMER,19.285666666666668
573,1911,SUMMER,19.215666666666667
577,1912,SUMMER,18.33966666666667
581,1913,SUMMER,19.031666666666666
585,1914,SUMMER,19.137
589,1915,SUMMER,18.643666666666665
593,1916,SUMMER,19.098666666666666
597,1917,SUMMER,19.06
601,1918,SUMMER,18.77133333333333
605,1919,SUMMER,19.576666666666668
609,1920,SUMMER,18.862333333333336
613,1921,SUMMER,19.670666666666666
617,1922,SUMMER,19.405
621,1923,SUMMER,19.39
625,1924,SUMMER,18.529666666666667
629,1925,SUMMER,19.633999999999997
633,1926,SUMMER,19.371666666666666
637,1927,SUMMER,18.698
641,1928,SUMMER,18.835666666666665
645,1929,SUMMER,19.218
649,1930,SUMMER,19.72366666666667
653,1931,SUMMER,20.002333333333333
657,1932,SUMMER,19.286666666666665
661,1933,SUMMER,19.813000000000002
665,1934,SUMMER,19.747
669,1935,SUMMER,19.608
673,1936,SUMMER,20.452333333333332
677,1937,SUMMER,20.008
681,1938,SUMMER,19.897000000000002
685,1939,SUMMER,19.88233333333333
689,1940,SUMMER,19.59433333333334
693,1941,SUMMER,19.36
697,1942,SUMMER,19.288
701,1943,SUMMER,19.500666666666664
705,1944,SUMMER,19.248666666666665
709,1945,SUMMER,19.161666666666665
713,1946,SUMMER,19.12033333333333
717,1947,SUMMER,19.703333333333337
721,1948,SUMMER,19.232333333333333
725,1949,SUMMER,19.357333333333333
729,1950,SUMMER,18.622333333333334
733,1951,SUMMER,19.322666666666667
737,1952,SUMMER,19.634333333333334
741,1953,SUMMER,19.727666666666664
745,1954,SUMMER,19.953333333333333
749,1955,SUMMER,19.875333333333334
753,1956,SUMMER,19.232333333333333
757,1957,SUMMER,19.457666666666668
761,1958,SUMMER,19.585000000000004
765,1959,SUMMER,19.427333333333333
769,1960,SUMMER,19.613666666666663
773,1961,SUMMER,19.188
777,1962,SUMMER,19.133333333333336
781,1963,SUMMER,19.656000000000002
785,1964,SUMMER,19.204333333333334
789,1965,SUMMER,18.637666666666664
793,1966,SUMMER,19.43
797,1967,SUMMER,19.038666666666668
801,1968,SUMMER,19.056
805,1969,SUMMER,19.677666666666667
809,1970,SUMMER,19.472333333333335
813,1971,SUMMER,19.111666666666665
817,1972,SUMMER,19.205000000000002
821,1973,SUMMER,19.349333333333334
825,1974,SUMMER,19.028333333333332
829,1975,SUMMER,19.034666666666666
833,1976,SUMMER,19.16933333333333
837,1977,SUMMER,20.005666666666666
841,1978,SUMMER,19.804666666666666
845,1979,SUMMER,19.632
849,1980,SUMMER,20.037000000000003
853,1981,SUMMER,19.426666666666666
857,1982,SUMMER,19.334666666666667
861,1983,SUMMER,19.965333333333334
865,1984,SUMMER,19.275666666666666
869,1985,SUMMER,19.016333333333336
873,1986,SUMMER,19.217333333333332
877,1987,SUMMER,19.479
881,1988,SUMMER,19.899666666666665
885,1989,SUMMER,19.55966666666667
889,1990,SUMMER,19.973000000000003
893,1991,SUMMER,19.69633333333333
897,1992,SUMMER,18.515
901,1993,SUMMER,19.091333333333335
905,1994,SUMMER,19.689333333333334
909,1995,SUMMER,19.98566666666667
913,1996,SUMMER,19.18733333333333
917,1997,SUMMER,19.899
921,1998,SUMMER,20.769666666666666
925,1999,SUMMER,19.759
929,2000,SUMMER,19.797666666666668
933,2001,SUMMER,20.161666666666665
937,2002,SUMMER,20.36466666666667
941,2003,SUMMER,20.21033333333333
945,2004,SUMMER,19.435333333333332
949,2005,SUMMER,20.520333333333337
953,2006,SUMMER,19.994
957,2007,SUMMER,20.611666666666665
961,2008,SUMMER,19.6
965,2009,SUMMER,19.688666666666666
969,2010,SUMMER,20.38833333333334
973,2011,SUMMER,20.595
977,2012,SUMMER,20.48866666666667
980,2013,SUMMER,20.505
